congressperson_name,congressperson_id,congressperson_document,term,state,party,term_id,subquota_number,subquota_description,subquota_group_id,subquota_group_description,supplier,cnpj_cpf,document_number,document_type,issue_date,document_value,remark_value,total_net_value,month,year,installment,passenger,leg_of_the_trip,batch_number,numbers,total_value,applicant_id,document_id,is_returned,is_meal
SANDES JÚNIOR,74372.0,524.0,2015.0,GO,PP,55,13,Congressperson meal,0,,DOM FRANCISCO - Francisco Pátio Comércio de Alimentos Ltda.,2169338000105,154105,0,2015-05-21T00:00:00,194.0,0.0,194.0,5,2015,0,,,1197096,[None],0.0,1688,5698641,True,True
PEPE VARGAS,141445.0,503.0,2015.0,RS,PT,55,13,Congressperson meal,0,,L & L EMPREENDIMENTOS ALIMENTICIOS LTDA,19847123000352,462883,0,2018-03-06T00:00:00,38.3,0.0,38.3,3,2018,0,,,1473023,[None],0.0,1911,6522014,True,True
GUILHERME MUSSI,160667.0,348.0,2019.0,SP,PP,54,13,Congressperson meal,0,,DIVINO FOGÃO,10374484000192,113494,0,2011-08-15T00:00:00,20.48,0.0,20.48,8,2011,0,,,560400,[None],0.0,2252,2146161,True,True
LEONARDO QUINTÃO,141482.0,255.0,2015.0,MG,MDB,54,13,Congressperson meal,0,,LUCCA RESTAURANTE E SERVIÇOS LTDA,4777798000648,109185,0,2012-04-24T00:00:00,25.0,0.0,25.0,4,2012,0,,,619709,[None],0.0,1873,2341622,True,True
MARCOS ROGÉRIO,167722.0,49.0,2015.0,RO,DEM,54,13,Congressperson meal,0,,TOLDOS RESTAURANTE E PIZZARIA LTDA,34472852000101,0029327,0,2013-05-10T00:00:00,96.8,0.0,96.8,5,2013,0,,,1030416,[None],0.0,2473,5114501,True,True
EDINHO BEZ,73793.0,532.0,2015.0,SC,MDB,53,13,Congressperson meal,0,,ILHA DO CABO VERDE,7180696000124,049296,0,2009-08-28T00:00:00,13.2,0.0,13.2,8,2009,0,,,423056,[None],0.0,1005,1671996,True,True
MARCELO ÁLVARO ANTÔNIO,179000.0,235.0,2019.0,MG,PSL,55,13,Congressperson meal,0,,RESTAURANTE DAS MINAS LTDA,4277081000122,93367,0,2017-09-20T00:00:00,30.78,0.0,30.78,9,2017,0,,,1424242,[None],0.0,2934,6393455,True,True
AFONSO MOTTA,178835.0,490.0,2019.0,RS,PDT,55,13,Congressperson meal,0,,Quiosque e Restaurante Passo Ltda ME,19256183000139,4713,0,2017-05-05T00:00:00,39.6,0.0,39.6,5,2017,0,,,1383485,[None],0.0,2880,6278388,True,True
FRANKLIN,186775.0,544.0,2015.0,MG,PP,55,13,Congressperson meal,0,,LANCHONETE  E  RESTAURANTE  BELVEDERE LTDA,21449780000121,034744,0,2017-10-17T00:00:00,45.0,0.0,45.0,10,2017,0,,,1440082,[None],0.0,3118,6434477,True,True
MAURO LOPES,74749.0,252.0,2019.0,MG,MDB,53,13,Congressperson meal,0,,OURO MINAS PALACE HOTEL,17321647000380,918784,0,2010-06-15T00:00:00,75.0,0.0,75.0,6,2010,0,,,481062,[None],0.0,1125,1873115,True,True
IRAJÁ ABREU,81232.0,65.0,2015.0,TO,PSD,54,13,Congressperson meal,0,,RA CATERING LTDA,17314329001797,015474,0,2011-05-01T00:00:00,58.96,0.0,58.96,5,2011,0,,,537817,[None],0.0,2396,2069606,True,True
RICARDO IZAR,160655.0,383.0,2019.0,SP,PP,54,13,Congressperson meal,0,,TIGRÃO TRAVEL CENTER,72724826000104,239792,0,2011-09-02T00:00:00,67.27,0.0,67.27,9,2011,0,,,565816,[None],0.0,2253,2165147,True,True
GERALDO SIMÕES,74566.0,185.0,2011.0,BA,PT,54,13,Congressperson meal,0,,SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,33469172001644,077611,0,2013-05-22T00:00:00,83.9,40.7,43.2,5,2013,0,,,1031205,[None],0.0,1340,5117264,True,True
JORGE SOLLA,178857.0,204.0,2019.0,BA,PT,55,13,Congressperson meal,0,,TAIOBA SELF-SERVICE LTDA-EPP,3346671000954,20396,0,2017-03-21T00:00:00,20.15,0.0,20.15,3,2017,0,,,1370468,[None],0.0,2938,6242588,True,True
VINICIUS CARVALHO,141555.0,397.0,2019.0,SP,PRB,53,13,Congressperson meal,0,,RR RESTAURANTE CARIOCA LTDA,29017159000109,005982,0,2009-08-21T00:00:00,218.46,28.0,190.46,8,2009,0,,,417777,[None],0.0,1951,1654375,True,True
SIBÁ MACHADO,160613.0,58.0,2015.0,AC,PT,54,13,Congressperson meal,0,,RESTAURANTE AEROPORTO,4005997000204,66403,0,2012-08-30T00:00:00,125.4,0.0,125.4,8,2012,0,,,636933,[None],0.0,2398,2396101,True,True
ANTONIO BULHÕES,141383.0,333.0,2015.0,SP,PRB,54,13,Congressperson meal,0,,CLS SÃO PAULO LTDA.,2704394001409,174136,0,2013-08-09T00:00:00,50.15,0.0,50.15,8,2013,0,,,1056268,[None],0.0,1782,5211063,True,True
MARCELO AGUIAR,160660.0,522.0,2015.0,SP,DEM,54,13,Congressperson meal,0,,RPS BAR E RESTAURANTE PORCAO,3956495000115,192111,0,2011-07-13T00:00:00,140.0,0.0,140.0,7,2011,0,,,561221,[None],0.0,2346,2149663,True,True
OSMAR TERRA,73692.0,497.0,2019.0,RS,MDB,54,13,Congressperson meal,0,,PRESS COMERCIO DE ALIMENTOS LTDA,5150637000188,411173,0,2012-05-04T00:00:00,28.5,0.0,28.5,5,2012,0,,,611393,[None],0.0,1514,2314215,True,True
SANDRA ROSADO,74039.0,125.0,2011.0,RN,PSB,53,13,Congressperson meal,0,,DOCE SHOPPING LEBLON,8723568000142,040379,0,2010-12-03T00:00:00,63.4,0.0,63.4,12,2010,0,,,513262,[None],0.0,1689,1987256,True,True
MIRIQUINHO BATISTA,160644.0,35.0,2011.0,PA,PT,54,13,Congressperson meal,0,,SENAC GAST. 10 ANDAR,33469172001644,029225,0,2011-06-07T00:00:00,67.0,32.0,35.0,6,2011,0,,,543056,[None],0.0,2360,2087779,True,True
MANOEL JUNIOR,141490.0,130.0,2015.0,PB,MDB,53,13,Congressperson meal,0,,GIRAMUNDO,8935483000128,003974,0,2009-11-16T00:00:00,103.3,0.0,103.3,11,2009,0,,,437389,[None],0.0,1881,1721072,True,True
JOÃO CARLOS BACELAR,141458.0,187.0,2019.0,BA,PR,55,13,Congressperson meal,0,,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,33469172000672,14031,0,2017-09-20T00:00:00,16.95,0.0,16.95,9,2017,0,,,1424667,[None],0.0,1856,6394641,True,True
ROBERTO DE LUCENA,160653.0,385.0,2019.0,SP,PODE,55,13,Congressperson meal,0,,THE FIFTIES COMÉRCIO DE ALIMENTOS LTDA,71821839002344,311354,0,2016-05-26T00:00:00,64.2,0.0,64.2,5,2016,0,,,1294555,[None],0.0,2282,6009503,True,True
MAIA FILHO,151965.0,549.0,2015.0,PI,PP,55,13,Congressperson meal,0,,JOZO RESTAURANTE,25683919000158,7027,0,2016-11-21T00:00:00,115.7,0.0,115.7,11,2016,0,,,1338369,[None],0.0,1994,6149034,True,True
VILSON COVATTI,141870.0,516.0,2011.0,RS,PP**,53,13,Congressperson meal,0,,COMERCIAL DE COMBUSTÍVEIS DAPA LTDA,91947036000302,037830,0,2010-03-19T00:00:00,10.6,0.0,10.6,3,2010,0,,,463132,[None],0.0,1966,1808167,True,True
ROBERTO FREIRE,73805.0,546.0,2015.0,SP,PPS,54,13,Congressperson meal,0,,SERVIÇO NACIONAL DE APRENDIZ COMERCIAL - SENAC,33469172001644,117885,0,2014-11-06T00:00:00,50.13,0.0,50.13,11,2014,0,,,1147790,[None],0.0,116,5538546,True,True
AFONSO FLORENCE,160508.0,182.0,2019.0,BA,PT,55,13,Congressperson meal,0,,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,33469172000672,182544,0,2015-12-01T00:00:00,17.0,0.0,17.0,12,2015,0,,,1249193,[None],0.0,2406,5867293,True,True
CIRO NOGUEIRA,74313.0,112.0,2007.0,PI,PP**,53,13,Congressperson meal,0,,TERESINA FRUTOS DO MAR LTDA,11861474000144,0201,0,2010-06-21T00:00:00,188.87,0.0,188.87,6,2010,0,,,482603,[None],0.0,1201,1879378,True,True
ODELMO LEÃO,74752.0,248.0,2015.0,MG,PP,55,13,Congressperson meal,0,,BARU RESTAURANTE LTDA.,16955896000445,293228,0,2015-10-26T00:00:00,62.49,5.68,56.81,10,2015,0,,,1242984,[None],0.0,705,5846794,True,True
NELSON PADOVANI,160566.0,567.0,2015.0,PR,PSDB,54,13,Congressperson meal,0,,PICASSO RESTAURANTE,8594930000122,5450,0,2011-05-14T00:00:00,78.0,0.0,78.0,5,2011,0,,,538830,[None],0.0,2327,2073131,True,True
FÁTIMA PELAES,74065.0,12.0,2011.0,AP,PMDB,54,13,Congressperson meal,0,,ORCA DA TRIBO,6088770000114,15185,0,2011-03-27T00:00:00,198.0,0.0,198.0,3,2011,0,,,526716,[None],0.0,565,2033070,True,True
RENATO MOLLING,141527.0,511.0,2015.0,RS,PP,55,13,Congressperson meal,0,,ALA LANCHONETE E CONVENIÊNCIA LTDA ME,17291224000100,385416,0,2017-10-03T00:00:00,9.49,0.0,9.49,10,2017,0,,,1434177,[None],0.0,1922,6417728,True,True
DR. ADILSON SOARES,141371.0,293.0,2011.0,RJ,PR,54,13,Congressperson meal,0,,CENTRAL PARK RESTAURANTE E EVENTOS LTDA ME,10580005000356,033085,0,2014-12-03T00:00:00,12.0,0.0,12.0,12,2014,0,,,1157854,[None],0.0,1812,5571976,True,True
ZECA DIRCEU,160592.0,468.0,2019.0,PR,PT,55,13,Congressperson meal,0,,SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,33469172000672,216530,0,2015-11-24T00:00:00,8.0,0.0,8.0,11,2015,0,,,1250552,[None],0.0,2238,5871280,True,True
TAKAYAMA,74385.0,469.0,2015.0,PR,PSC,54,13,Congressperson meal,0,,Serviço Nacional de Aprendiz. Comercial SENAC,33469172000672,065954,0,2013-04-23T00:00:00,24.5,0.0,24.5,4,2013,0,,,1035077,[None],0.0,1693,5113105,True,True
JÚLIA MARINHO,67312.0,34.0,2015.0,PA,PSC,55,13,Congressperson meal,0,,Amaral  e Silveira LTDA ME 26.28 19.03.2017,15464165000191,000008629,0,2017-03-19T00:00:00,26.28,0.0,26.28,3,2017,0,,,1367608,[None],0.0,3054,6236843,True,True
FERNANDO FERRO,74417.0,141.0,2011.0,PE,PT,54,13,Congressperson meal,0,,SERVIÇO NACIONAL DE APRENDIZAGEM COM. SENAC,33469172001644,040362,0,2012-02-09T00:00:00,39.0,0.0,39.0,2,2012,0,,,592346,[None],0.0,1029,2252184,True,True
SÉRGIO MORAES,141542.0,512.0,2015.0,RS,PTB,54,13,Congressperson meal,0,,RESTAURANTE VARANDA DO SUL LTDA - ME,4490752000139,015479,0,2014-04-01T00:00:00,38.3,0.0,38.3,4,2014,0,,,1102736,[None],0.0,1935,5376528,True,True
MAJOR FÁBIO,149327.0,599.0,2011.0,PB,PROS,54,13,Congressperson meal,0,,ASSOCIAÇÃO DOS SERVIDORES DA CÂMARA DOS DEPUTADOS,679365000194,9016,0,2013-07-09T00:00:00,40.02,0.0,40.02,7,2013,0,,,1042376,[None],0.0,1986,5160133,True,True
JERÔNIMO GOERGEN,160570.0,505.0,2019.0,RS,PP,55,13,Congressperson meal,0,,CHURRASCARIA FOGO DE CHAO LTDA,8698859000128,26284,4,2019-01-29T00:00:00,63.28,0.0,63.28,1,2019,0,,,1557640,[None],0.0,2340,6745729,True,True
ANTÔNIO JÁCOME,178950.0,121.0,2015.0,RN,PODE,55,13,Congressperson meal,0,,CPQ BRASIL S/A,74552068001787,072992,0,2015-12-08T00:00:00,46.0,0.0,46.0,12,2015,0,,,1249968,[None],0.0,3010,5869547,True,True
FÁBIO RAMALHO,141427.0,238.0,2019.0,MG,MDB,55,13,Congressperson meal,0,,Gromwell & Araujo Comercial de Alim. LTDA ME,19422072000155,031625,0,2016-02-23T00:00:00,49.44,0.0,49.44,2,2016,0,,,1268512,[None],0.0,1830,5927802,True,True
GENECIAS NORONHA,160669.0,99.0,2019.0,CE,SOLIDARIEDADE,54,13,Congressperson meal,0,,COCO BAMBU FRUTOS DO MAR,10542662000147,25081,0,2011-03-22T00:00:00,182.82,0.0,182.82,3,2011,0,,,529247,[None],0.0,2311,2041971,True,True
JOSÉ AIRTON FÉLIX CIRILO,141464.0,101.0,2019.0,CE,PT,55,13,Congressperson meal,0,,ABS BAR E RESTAURANTE LTDA,7166985000179,052253,0,2016-01-04T00:00:00,122.2,0.0,122.2,1,2016,0,,,1258839,[None],0.0,1860,5898573,True,True
VITOR LIPPI,178992.0,399.0,2019.0,SP,PSDB,55,13,Congressperson meal,0,,BARU RESTAURANTE LTDA,16955896000100,09988,0,2015-04-07T00:00:00,170.0,0.0,170.0,4,2015,0,,,1183309,[None],0.0,2954,5655555,True,True
ADEMIR CAMILO,133374.0,520.0,2015.0,MG,MDB,54,13,Congressperson meal,0,,MARTINICA ALIMENTAÇÃO LTDA,41856832000191,195067,0,2014-04-21T00:00:00,69.9,0.0,69.9,4,2014,0,,,1111635,[None],0.0,1744,5405813,True,True
FÁTIMA PELAES,74065.0,12.0,2011.0,AP,PMDB,54,13,Congressperson meal,0,,SENAC - Serv. Nacional Aprendiz. Comercial,33469172001644,20864,0,2014-02-11T00:00:00,97.12,43.56,53.56,2,2014,0,,,1091150,[None],0.0,565,5336541,True,True
GERALDO RESENDE,74374.0,530.0,2019.0,MS,PSDB,55,13,Congressperson meal,0,,Restaurante o Trairão Ltda,13506601000112,201564,0,2015-11-04T00:00:00,57.64,0.0,57.64,11,2015,0,,,1255401,[None],0.0,1649,5886496,True,True
JOSÉ ROCHA,74554.0,203.0,2019.0,BA,PR,55,13,Congressperson meal,0,,MARIA GULOSA,1235794000135,43425,0,2015-08-24T00:00:00,58.67,0.0,58.67,8,2015,0,,,1220107,[None],0.0,1071,5771643,True,True
MAJOR OLIMPIO,178826.0,368.0,2015.0,SP,PSL,55,13,Congressperson meal,0,,BUFFET E REFEIÇOESS ANHEMBI LTDA EPP,11055823000130,021663,0,2018-10-29T00:00:00,109.99,0.0,109.99,10,2018,0,,,1535924,[None],0.0,2935,6690067,True,True
JOÃO CAMPOS,74366.0,418.0,2019.0,GO,PRB,54,13,Congressperson meal,0,,BAR E LANCHONETE MAU NENHUM LTDA,36871598000131,025447,0,2011-02-07T00:00:00,28.29,0.0,28.29,2,2011,0,,,518176,[None],0.0,1671,2003937,True,True
DR. ADILSON SOARES,141371.0,293.0,2011.0,RJ,PR,54,13,Congressperson meal,0,,RESTAURANTE CAMARAO EM PENCA LTDA,8111515000170,017347,0,2013-11-17T00:00:00,40.0,0.0,40.0,11,2013,0,,,1080577,[None],0.0,1812,5300276,True,True
PAULO WAGNER,160593.0,126.0,2011.0,RN,PV,54,13,Congressperson meal,0,,RESTAURANTE  LA  TAVOLA,70154570000111,103187,0,2013-08-05T00:00:00,54.54,0.0,54.54,8,2013,0,,,1047736,[None],0.0,2257,5180284,True,True
ROBERTO BALESTRA,73674.0,427.0,2015.0,GO,PP,54,13,Congressperson meal,0,,YAN PING,10888722000188,0516,0,2011-08-10T00:00:00,38.87,0.0,38.87,8,2011,0,,,558198,[None],0.0,356,2138509,True,True
EFRAIM FILHO,141422.0,128.0,2019.0,PB,DEM,54,13,Congressperson meal,0,,RESTAURANTE MERICIA LTDA,70107909000129,024070,0,2011-10-21T00:00:00,64.0,8.0,56.0,10,2011,0,,,575748,[None],0.0,1823,2198584,True,True
JOÃO MAGALHÃES,74120.0,239.0,2011.0,MG,PMDB,54,13,Congressperson meal,0,,CHURRASCARIA PORCÃO,3956495000115,318207,0,2013-06-11T00:00:00,115.8,0.0,115.8,6,2013,0,,,1037384,[None],0.0,1233,5140676,True,True
RAQUEL MUNIZ,178998.0,258.0,2015.0,MG,PSD,55,13,Congressperson meal,0,,HM  ALIMENTOS E BEBIDAS EIRELI - ME,20354010000132,227163,0,2016-04-07T00:00:00,47.3,0.0,47.3,4,2016,0,,,1284063,[None],0.0,2927,5977034,True,True
JOSÉ LINHARES,74297.0,96.0,2011.0,CE,PP**,54,13,Congressperson meal,0,,MARIA DO SOCORRO FERREIRA GOMES MENDES CARNEIRO,2318812000105,044997,0,2013-10-10T00:00:00,16.0,0.0,16.0,10,2013,0,,,1065695,[None],0.0,620,5248106,True,True
ADILTON SACHETTI,178903.0,401.0,2015.0,MT,PRB,55,13,Congressperson meal,0,,Fadng Restaurante e Lanchonete Eireli,21308136000133,021447,0,2015-08-16T00:00:00,19.0,0.0,19.0,8,2015,0,,,1220134,[None],0.0,3026,5771850,True,True
SÉRGIO BRITO,73808.0,213.0,2019.0,BA,PSD,54,13,Congressperson meal,0,,CERVINO & MARTINEZ LTDA,14672999000120,154898,0,2013-09-23T00:00:00,14.0,0.0,14.0,9,2013,0,,,1061180,[None],0.0,169,5231337,True,True
VALTENIR PEREIRA,141552.0,536.0,2019.0,MT,MDB,55,13,Congressperson meal,0,,Trivial Congelados,8362377000100,019862,0,2016-11-22T00:00:00,38.0,0.0,38.0,11,2016,0,,,1340015,[None],0.0,1946,6153237,True,True
VIEIRA DA CUNHA,141400.0,514.0,2011.0,RS,PDT,54,13,Congressperson meal,0,,DOM FRANCISCO RESTAURANTE LTDA.,3327191000199,066868,0,2013-06-12T00:00:00,162.3,0.0,162.3,6,2013,0,,,1036293,[None],0.0,1950,5136429,True,True
LEONARDO QUINTÃO,141482.0,255.0,2015.0,MG,MDB,55,13,Congressperson meal,0,,CPQ BRASIL S A,74552068001434,33463,4,2018-06-21T00:00:00,28.0,0.0,28.0,6,2018,0,,,1508792,[None],0.0,1873,6615436,True,True
DR. UBIALI,141498.0,541.0,2011.0,SP,PSB,54,13,Congressperson meal,0,,VALENTINA,11869345000100,018208,0,2011-07-23T00:00:00,74.67,2.0,72.67,7,2011,0,,,557313,[None],0.0,1815,2135710,True,True
SUBTENENTE GONZAGA,177282.0,273.0,2019.0,MG,PDT,55,13,Congressperson meal,0,,RESTAURANTE E BAR CLUBE DO EMPRESARIO LTDA,3985463000490,078146,0,2015-07-31T00:00:00,88.0,0.0,88.0,7,2015,0,,,1215249,[None],0.0,2871,5755164,True,True
ROCHA,178840.0,59.0,2015.0,AC,PSDB,55,13,Congressperson meal,0,,CHURRASCARIA GARFO E BOMBACHA LTDA,92040690000120,033739,0,2016-01-13T00:00:00,84.0,0.0,84.0,1,2016,0,,,1263601,[None],0.0,3048,5912778,True,True
RONALDO ZULKE,160594.0,515.0,2011.0,RS,PT,54,13,Congressperson meal,0,,Pontual Eventos,10748633000136,006755,0,2014-05-13T00:00:00,11.0,0.0,11.0,5,2014,0,,,1116479,[None],0.0,2303,5424342,True,True
MÁRIO NEGROMONTE JR.,178858.0,208.0,2019.0,BA,PP,55,13,Congressperson meal,0,,SENAC - NACIONAL DE APRENDIZAGEM COMERCIAL,33469172001644,067721,0,2015-09-23T00:00:00,51.13,0.0,51.13,9,2015,0,,,1229511,[None],0.0,2996,5803171,True,True
JORGE SOLLA,178857.0,204.0,2019.0,BA,PT,55,13,Congressperson meal,0,,PERINI COMERCIAL DE ALIMENTOS LTDA,11965515000908,109715,0,2018-02-19T00:00:00,18.0,0.0,18.0,2,2018,0,,,1466538,[None],0.0,2938,6506853,True,True
EDUARDO BARBOSA,74655.0,230.0,2019.0,MG,PSDB,53,13,Congressperson meal,0,,BRIZOLIM COMÉRCIO DE ALIMENTOS LTDA ME,3795734000100,004518,0,2010-07-07T00:00:00,16.18,0.0,16.18,7,2010,0,,,485009,[None],0.0,1010,1888363,True,True
ALEXANDRE SERFIOTIS,178833.0,284.0,2019.0,RJ,PSD,55,13,Congressperson meal,0,,SERV. NAC. DE APRENDIZAGEM COMERCIAL - SENAC,33469172000672,145509,0,2015-05-26T00:00:00,7.5,0.0,7.5,5,2015,0,,,1196049,[None],0.0,3070,5695314,True,True
MARCOS ROGÉRIO,167722.0,49.0,2015.0,RO,DEM,55,13,Congressperson meal,0,,P. DAL SANTO & CIA LTDA - ME,15866668000193,021227,0,2016-04-20T00:00:00,77.6,0.0,77.6,4,2016,0,,,1283663,[None],0.0,2473,5975722,True,True
WASHINGTON LUIZ,74490.0,593.0,2007.0,MA,PT,53,13,Congressperson meal,0,,NATURETTO RESTAURANTE NATURAL,984060000196,017133,0,2009-10-02T00:00:00,12.2,0.0,12.2,10,2009,0,,,427521,[None],0.0,1728,1687644,True,True
CAJAR NARDES,194261.0,577.0,2015.0,RS,PODE,55,13,Congressperson meal,0,,Santos e Acostas LTDA - EPP,27431643000146,532,0,2017-05-05T00:00:00,18.9,0.0,18.9,5,2017,0,,,1385125,[None],0.0,3146,6281020,True,True
WILSON FILHO,160636.0,139.0,2015.0,PB,PTB,54,13,Congressperson meal,0,,MOSAICO COMERCIAL DE ALI. E. RESTAURANTE LTDA ME,12247707000186,002705,0,2012-04-18T00:00:00,99.4,0.0,99.4,4,2012,0,,,615600,[None],0.0,2366,2328758,True,True
ODAIR CUNHA,74159.0,269.0,2019.0,MG,PT,54,13,Congressperson meal,0,,LANCHONETE SUL MINEIRA LTDA,51871879000188,000756,0,2011-08-12T00:00:00,6.0,0.0,6.0,8,2011,0,,,562056,[None],0.0,1625,2152345,True,True
CACÁ LEÃO,93083.0,193.0,2019.0,BA,PP,55,13,Congressperson meal,0,,ADEGA BACCO COM.E SERVICOS EIRELI - ME,18713459000106,028891,0,2015-03-20T00:00:00,117.37,0.0,117.37,3,2015,0,,,1177257,[None],0.0,2897,5635890,True,True
DR. PAULO CÉSAR,147975.0,296.0,2011.0,RJ,PR,53,13,Congressperson meal,0,,PBJM COMÉRCIO DE GÊNEROS ALIMENTÍCIOS  LTDA.,9054158000119,13123,0,2010-05-11T00:00:00,87.29,0.0,87.29,5,2010,0,,,475680,[None],0.0,1982,1853085,True,True
EDUARDO BARBOSA,74655.0,230.0,2019.0,MG,PSDB,55,13,Congressperson meal,0,,CENTRAL PARK RESTAURANTE E EVENTOS LTDA ME,10580005000356,044636,0,2015-06-10T00:00:00,7.49,0.0,7.49,6,2015,0,,,1201328,[None],0.0,1010,5711132,True,True
VANDERLEI MACRIS,141553.0,394.0,2019.0,SP,PSDB,55,13,Congressperson meal,0,,CASA  DE CHA BARAO DO CAFE LTDA ME,8515856000101,149792,0,2015-04-27T00:00:00,12.9,0.0,12.9,4,2015,0,,,1195910,[None],0.0,1947,5694647,True,True
POMPEO DE MATTOS,73486.0,516.0,2019.0,RS,PDT,55,13,Congressperson meal,0,,COM DE ALIMENTOS PIQUIRI LTDA,5810839000109,509014,0,2015-04-10T00:00:00,52.0,0.0,52.0,4,2015,0,,,1183656,[None],0.0,1458,5656529,True,True
CÉSAR HALUM,160576.0,64.0,2015.0,TO,PRB,54,13,Congressperson meal,0,,CHURRASCARIA ESPETO DE OURO LTDA,660993000128,134143,0,2014-10-21T00:00:00,115.17,0.0,115.17,10,2014,0,,,1152873,[None],0.0,2336,5526945,True,True
PAULO AZI,178860.0,215.0,2019.0,BA,DEM,55,13,Congressperson meal,0,,"SOHO RESTAURANTE-LUPA ALIMENTOS, PUBLIC. E EVENTOS LTDA ME",12550441000146,9474,0,2015-06-08T00:00:00,194.0,0.0,194.0,6,2015,0,,,1199928,[None],0.0,2929,5706958,True,True
LUIZ SÉRGIO,74688.0,313.0,2015.0,RJ,PT,55,13,Congressperson meal,0,,SENAC - COMP. ADM. CAM. DEP. ANEXO IV 10º ANDAR,33469172001644,150536,0,2015-06-16T00:00:00,19.9,0.0,19.9,6,2015,0,,,1204880,[None],0.0,1383,5722787,True,True
JORGE SOLLA,178857.0,204.0,2019.0,BA,PT,55,13,Congressperson meal,0,,SOHO  RESTAURANTE,2077434000115,342521,0,2016-06-16T00:00:00,121.93,0.0,121.93,6,2016,0,,,1300981,[None],0.0,2938,6029216,True,True
WALTER TOSTA,160609.0,267.0,2011.0,MG,PSD,54,13,Congressperson meal,0,,NATURETO RESTAURANTE NATURAL LTDA,984060000277,26404,0,2011-12-21T00:00:00,51.2,0.0,51.2,12,2011,0,,,585309,[None],0.0,2275,2229359,True,True
NELSON MARCHEZAN JUNIOR,160567.0,509.0,2015.0,RS,PSDB,54,13,Congressperson meal,0,,MM LANCHES E COMESTIVEIS,45814696000128,168975,0,2014-10-19T01:00:00,80.0,0.0,80.0,10,2014,0,,,1145634,[None],0.0,2409,5531429,True,True
EDINHO BEZ,73793.0,532.0,2015.0,SC,MDB,54,13,Congressperson meal,0,,Sufla Alimentação e Diversões Ltda,3186904000141,25738,0,2013-04-16T00:00:00,182.91,0.0,182.91,4,2013,0,,,1024036,[None],0.0,1005,5089726,True,True
EDUARDO BARBOSA,74655.0,230.0,2019.0,MG,PSDB,55,13,Congressperson meal,0,,SERV. NAC. DE APRENDIZAGEM COMERCIAL - SENAC,33469172000672,146616,0,2015-05-27T00:00:00,3.5,0.0,3.5,5,2015,0,,,1196432,[None],0.0,1010,5696542,True,True
MARA GABRILLI,160565.0,366.0,2015.0,SP,PSDB,54,13,Congressperson meal,0,,JULIANA DE CASTRO PEDRO,13630620000156,136193,0,2014-02-05T00:00:00,59.8,0.0,59.8,2,2014,0,,,1092387,[None],0.0,2399,5341160,True,True
AMIR LANDO,174861.0,642.0,2011.0,RO,PMDB,54,13,Congressperson meal,0,,Ferreira da Silva & Izidorio Santos Ltda ME,10701342000192,003631,0,2014-06-26T00:00:00,84.0,0.0,84.0,6,2014,0,,,1126389,[None],0.0,2861,5458275,True,True
LEOPOLDO MEYER,160663.0,456.0,2015.0,PR,PSB,54,13,Congressperson meal,0,,Batatinhas,4975285000137,28005,0,2013-05-10T00:00:00,35.7,0.0,35.7,5,2013,0,,,1028900,[None],0.0,2299,5106266,True,True
BISPO GÊ TENUTA,3155.0,526.0,2007.0,SP,DEM,53,13,Congressperson meal,0,,SERV NAC DE APRENDIZAGEM COMERCIAL SENAC,33469172000672,014588,0,2009-09-23T00:00:00,14.0,0.0,14.0,9,2009,0,,,426224,[None],0.0,1972,1683340,True,True
ROGÉRIO MARINHO,141535.0,124.0,2015.0,RN,PSDB,55,13,Congressperson meal,0,,COMMO GARTRONOMIA LTDA,10865078000122,123533,0,2016-05-17T00:00:00,30.5,0.0,30.5,5,2016,0,,,1291254,[None],0.0,1931,5998931,True,True
LUIZIANNE LINS,178866.0,98.0,2019.0,CE,PT,55,13,Congressperson meal,0,,RAINHA 95 COMERCIO DE ALIMENTOS E BEBIDAS LTDA,11357651000150,15093,0,2016-06-26T00:00:00,61.7,0.0,61.7,6,2016,0,,,1307781,[None],0.0,2946,6051255,True,True
EUDES XAVIER,141386.0,91.0,2011.0,CE,PT,54,13,Congressperson meal,0,,NATURETTO RESTAURANTE NATURAL,984060000277,120050,0,2011-08-23T00:00:00,23.5,0.0,23.5,8,2011,0,,,559284,[None],0.0,1827,2142392,True,True
CHRISTIANE DE SOUZA YARED,178928.0,442.0,2019.0,PR,PR,55,13,Congressperson meal,0,,JIN JIN WOK - Cleveland Barbosa Bernardes EPP,11939627000129,218390,0,2016-09-13T00:00:00,41.13,0.0,41.13,9,2016,0,,,1324107,[None],0.0,2983,6104027,True,True
VILSON COVATTI,141870.0,516.0,2011.0,RS,PP**,53,13,Congressperson meal,0,,CHURRASCARIA PAPAGAIO,5556876000132,031385,0,2010-04-16T00:00:00,10.75,0.0,10.75,4,2010,0,,,468741,[None],0.0,1966,1827405,True,True
GEOVANIA DE SÁ,178966.0,482.0,2019.0,SC,PSDB,55,13,Congressperson meal,0,,Rodosnack Baleia Franca,17383200000173,315178,0,2015-03-30T00:00:00,32.8,0.0,32.8,3,2015,0,,,1179253,[None],0.0,2987,5642334,True,True
