congressperson_name,congressperson_id,congressperson_document,term,state,party,term_id,subquota_number,subquota_description,subquota_group_id,subquota_group_description,supplier,cnpj_cpf,document_number,document_type,issue_date,document_value,remark_value,total_net_value,month,year,installment,passenger,leg_of_the_trip,batch_number,numbers,total_value,applicant_id,document_id
ALFREDO SIRKIS,116663.0,321.0,2011.0,RJ,PSB,54,3,Fuels and lubricants,1,Veículos Automotores,PREDITIVA AUTO POSTO LTDA,1820527000125,04456,0,2014-11-07T00:00:00,124.35,0.0,124.35,11,2014,0,,,1149149,[nan],0.0,2309,5543147
MIGUEL HADDAD,178984.0,377.0,2015.0,SP,PSDB,55,1,Maintenance of office supporting parliamentary activity,0,,DAE JUNDIAI,3582243000173,2018552744799,0,2018-09-03T00:00:00,139.89,0.0,139.89,8,2018,0,,,1527211,[nan],0.0,2919,6664692
ELIZEU DIONIZIO,181316.0,538.0,2015.0,MS,PSB,55,1,Maintenance of office supporting parliamentary activity,0,,AGUAS GUARIROBA S A,4089570000150,282480,0,2016-09-27T00:00:00,290.3,0.0,290.3,9,2016,0,,,1327565,[nan],0.0,3093,6115390
WALDENOR PEREIRA,160569.0,219.0,2019.0,BA,PT,55,5,Publicity of parliamentary activity,0,,ASSOC. COMUN. NOVA DIMENSÃO DE RADIO,2240496000104,133,0,2016-07-28T00:00:00,200.0,0.0,200.0,7,2016,0,,,1313111,[nan],0.0,2288,6068965
LUIZA ERUNDINA,74784.0,371.0,2019.0,SP,PSOL,53,11,Postal services,0,,CORREIOS - CARTA SIMPLES,7,RSP : 1130406,1,2010-02-18T16:35:15,5.65,0.0,5.65,2,2010,0,,,0,['0'],,1402,0
ONYX LORENZONI,74399.0,510.0,2019.0,RS,DEM,54,999,Flight ticket issue,0,,Cia Aérea - WEBJET,5730375000120,Bilhete: 1020-104324,0,2012-04-19T00:00:00,387.56,0.0,387.56,4,2012,0,ADAO PAIANI,POA/BSB,0,['0'],,1627,0
PASTOR EURICO,160642.0,155.0,2019.0,PE,PATRI,54,10,Telecommunication,0,,TIM CELULAR - S.A.,4206050000180,000007547-AB,0,2014-12-07T00:00:00,715.68,14.09,701.59,12,2014,0,,,1159387,[nan],0.0,2264,5576981
ANTONIO CARLOS MENDES THAME,73584.0,519.0,2015.0,SP,PV,54,15,Automotive vehicle renting or watercraft charter,0,,DISQUE AUTOBAN,2451848000162,146460,1,2011-10-11T00:00:00,6.9,0.0,6.9,10,2011,0,,,576572,[nan],0.0,288,2201100
NILMÁRIO MIRANDA,74751.0,542.0,2015.0,MG,PT,54,15,Automotive vehicle renting or watercraft charter,0,,AUTO PISTA FERNÃO DIAS,9326342000170,2887,1,2013-04-20T00:00:00,1.4,0.0,1.4,4,2013,0,,,1023644,[nan],0.0,2816,5088181
VICENTINHO,74283.0,396.0,2019.0,SP,PT,55,3,Fuels and lubricants,1,Veículos Automotores,CASCOL COMBUSTÍVEIS PARA VEICULOS LTDA,306597007100,019704,0,2016-02-24T00:00:00,174.57,0.0,174.57,2,2016,0,,,1268837,[nan],0.0,1699,5928656
BOHN GASS,160538.0,499.0,2019.0,RS,PT,55,3,Fuels and lubricants,1,Veículos Automotores,POSTO BOZETTI,11064906000196,135114,0,2016-05-23T00:00:00,130.0,0.0,130.0,5,2016,0,,,1301872,[nan],0.0,2405,6032793
ROGÉRIO MARINHO,141535.0,124.0,2015.0,RN,PSDB,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2142.334849,0,2017-02-17T00:00:00,577.69,0.0,577.69,2,2017,0,STENIO DANTAS DE AZEVEDO,BSB/NAT,0,['0'],,1931,1407751
MIGUEL CORRÊA,141509.0,261.0,2015.0,MG,PT,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2466.385398,0,2013-04-10T00:00:00,329.57,0.0,329.57,4,2013,0,MIGUEL CORRÊA,CNF/BSB,0,['0'],,1894,621172
BOHN GASS,160538.0,499.0,2019.0,RS,PT,55,122,"Taxi, toll and parking",0,,COOTAERO,90149071000143,762000,1,2017-07-14T00:00:00,33.0,0.0,33.0,7,2017,0,,,1410981,[nan],0.0,2405,6355472
ONYX LORENZONI,74399.0,510.0,2019.0,RS,DEM,54,10,Telecommunication,0,,CELULAR FUNCIONAL,1,5292406,0,2013-10-11T00:00:00,1398.08,0.0,1398.08,9,2013,0,,,0,['0'],,1627,0
CELSO MALDANER,141405.0,472.0,2019.0,SC,MDB,55,3,Fuels and lubricants,1,Veículos Automotores,Posto Combustiveis Sariedyn,8642617000112,14409,0,2017-01-17T00:00:00,150.0,0.0,150.0,1,2017,0,,,1350889,[nan],0.0,1798,6186723
BONIFÁCIO DE ANDRADA,74650.0,222.0,2015.0,MG,DEM,54,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Comp-127Z9YENC,0,2011-11-10T00:00:00,-190.56,0.0,-190.56,11,2011,0,BONIFÁCIO DE ANDRADA,REEMBOLSO,0,['0'],,191,0
DAVI ALCOLUMBRE,73924.0,10.0,2011.0,AP,DEM,53,11,Postal services,0,,CORREIOS - SEDEX 10 COM AR,7,RSP : 1168558,1,2010-09-09T16:02:01,42.0,0.0,42.0,9,2010,0,,,0,['0'],,1594,0
ANTONIO CARLOS MENDES THAME,73584.0,519.0,2015.0,SP,PV,55,5,Publicity of parliamentary activity,0,,TODA MIDIA COMUNICAÇÃO E EVENTOS,12967066000134,231,0,2016-12-15T00:00:00,3000.0,0.0,3000.0,12,2016,0,,,1346869,[nan],0.0,288,6173218
MARINA MAGGESSI,141505.0,314.0,2007.0,RJ,PPS,53,1,Maintenance of office supporting parliamentary activity,0,,NET,28029775000109,0000196772,0,2010-10-20T00:00:00,208.9,0.0,208.9,10,2010,0,,,507044,[nan],0.0,1890,1968444
KEIKO OTA,160659.0,356.0,2015.0,SP,PSB,54,13,Congressperson meal,0,,LANCHONETE C.M.N. MONTADA LTDA. - ME,7313854000177,000898,0,2011-05-06T00:00:00,43.8,0.0,43.8,5,2011,0,,,537126,[nan],0.0,2261,2067548
ANTÔNIO JÁCOME,178950.0,121.0,2015.0,RN,PODE,55,13,Congressperson meal,0,,ALMANARA RESTAURANTES E LANCHONETES LTDA,60909215000402,191808,0,2016-01-25T00:00:00,47.8,0.0,47.8,1,2016,0,,,1260014,[nan],0.0,3010,5901596
GORETE PEREIRA,129618.0,100.0,2015.0,CE,PR,55,10,Telecommunication,0,,OI Móvel S.A.,5423963000111,26447,0,2017-04-06T00:00:00,460.03,0.0,460.03,3,2017,0,,,1375138,[nan],0.0,1737,6257988
MARINALDO ROSENDO,178919.0,152.0,2015.0,PE,PP,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2128.396871,0,2016-04-27T00:00:00,342.58,0.0,342.58,4,2016,0,AGUINALDO MR MENEZES JR,REC/BSB,0,['0'],,2964,1300289
ELMAR NASCIMENTO,178854.0,198.0,2019.0,BA,DEM,55,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: RJHZVQ,0,2015-09-10T00:00:00,1222.54,0.0,1222.54,9,2015,0,ELMAR NASCIMENTO,SSA/CGH,0,['0'],,3040,1092088
SANDES JÚNIOR,74372.0,524.0,2015.0,GO,PP,55,13,Congressperson meal,0,,DOM FRANCISCO - Francisco Pátio Comércio de Alimentos Ltda.,2169338000105,154105,0,2015-05-21T00:00:00,194.0,0.0,194.0,5,2015,0,,,1197096,[nan],0.0,1688,5698641
MARCO MAIA,133373.0,496.0,2015.0,RS,PT,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2121.288067,0,2015-11-26T00:00:00,2240.64,0.0,2240.64,11,2015,0,MARCO MAIA,POA/BSB,0,['0'],,1742,1251189
PEPE VARGAS,141445.0,503.0,2015.0,RS,PT,55,13,Congressperson meal,0,,L & L EMPREENDIMENTOS ALIMENTICIOS LTDA,19847123000352,462883,0,2018-03-06T00:00:00,38.3,0.0,38.3,3,2018,0,,,1473023,[nan],0.0,1911,6522014
CHICO D'ANGELO,141439.0,293.0,2019.0,RJ,PDT,55,10,Telecommunication,0,,CELULAR FUNCIONAL,1,6026934,0,2015-12-15T00:00:00,151.54,0.0,151.54,11,2015,0,,,0,['0'],,1799,0
ANTÔNIO ROBERTO,141390.0,229.0,2011.0,MG,PV,54,1,Maintenance of office supporting parliamentary activity,0,,PROSIND SINDICOS PROFISSIONAIS CONTABÉIS LTDA.,8327147000100,109/270046047,1,2013-08-07T00:00:00,477.72,0.0,477.72,8,2013,0,,,1052837,[nan],0.0,1784,5200073
JOÃO RODRIGUES,160571.0,473.0,2015.0,SC,PSD,54,10,Telecommunication,0,,TIM CELULAR S.A.,4206050014645,000109718-AA,0,2014-12-02T00:00:00,579.88,0.0,579.88,12,2014,0,,,1160067,[nan],0.0,2315,5579544
OTAVIO LEITE,141515.0,316.0,2015.0,RJ,PSDB,54,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: 127H5KI3F,0,2011-03-30T00:00:00,370.11,0.0,370.11,3,2011,0,OTAVIO LEITE,BSB/ GIG,0,['0'],,1901,0
PASTOR PEDRO RIBEIRO,74032.0,555.0,2007.0,CE,PR,53,15,Automotive vehicle renting or watercraft charter,0,,TRANSCOOPAS RADIO TAXI,33725029000190,441457,1,2009-08-21T00:00:00,64.0,0.0,64.0,8,2009,0,,,418178,[nan],0.0,1635,1656044
FELIPE MAIA,141429.0,120.0,2015.0,RN,DEM,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2479.000146,0,2013-11-05T00:00:00,861.55,0.0,861.55,11,2013,0,FELIPE MAIA,BSB/NAT,0,['0'],,1832,746609
MÁRCIO MARINHO,150418.0,212.0,2019.0,BA,PRB,54,1,Maintenance of office supporting parliamentary activity,0,,D R TECNOLOGIA COMÉRCIO E SERVIÇO LTDA,9072621000155,00000428,0,2014-12-11T00:00:00,990.0,0.0,990.0,12,2014,0,,,1163636,[nan],0.0,1987,5591266
FÁBIO FARIA,141428.0,119.0,2019.0,RN,PSD,54,10,Telecommunication,0,,TIM,4206050008831,000036789-AA,0,2012-03-07T00:00:00,51.02,1.12,49.9,3,2012,0,,,604038,[nan],0.0,1829,2289955
HÉLIO SANTOS,160590.0,76.0,2011.0,MA,PSDB,54,10,Telecommunication,0,,TIM,4206050003791,000064487-AA,0,2012-10-14T00:00:00,438.88,7.77,431.11,10,2012,0,,,651154,[nan],0.0,2397,2440283
WALDENOR PEREIRA,160569.0,219.0,2019.0,BA,PT,55,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: ONHSNX,0,2017-05-03T00:00:00,196.69,0.0,196.69,5,2017,0,WALDENOR PEREIRA,BSB/SSA,0,['0'],,2288,1429165
ALAN RICK,178836.0,53.0,2019.0,AC,DEM,55,3,Fuels and lubricants,1,Veículos Automotores,BRASAL COMBUSTIVEIS LTDA,97626000168,472308,4,2019-01-27T00:00:00,189.76,0.0,189.76,1,2019,0,,,1557023,[nan],0.0,2910,6744212
EDUARDO DA FONTE,141421.0,156.0,2019.0,PE,PP,54,10,Telecommunication,0,,CELULAR FUNCIONAL,1,5570550,0,2014-11-13T00:00:00,173.0,0.0,173.0,11,2014,0,,,0,['0'],,1822,0
PAULO BORNHAUSEN,73883.0,482.0,2011.0,SC,PSB,54,10,Telecommunication,0,,RAMAL,6,5491957,0,,39.32,0.0,39.32,8,2014,0,,,0,['0'],,1146,0
JOÃO DERLY,178965.0,514.0,2015.0,RS,REDE,55,3,Fuels and lubricants,1,Veículos Automotores,AUTO SHOPPING DER DE PETROLEO LTDA,37063328000752,49202,4,2018-03-15T00:00:00,200.04,0.0,200.04,3,2018,0,,,1476543,[nan],0.0,2937,6532566
VANESSA GRAZZIOTIN,74357.0,40.0,2007.0,AM,PCdoB,53,2,"Locomotion, meal and lodging",0,,SINTAXI-DF,7424109000103,00504,1,2009-05-19T00:00:00,33.5,0.0,33.5,5,2009,0,,,397706,[nan],0.0,1287,1590264
PAULO ABI-ACKEL,141516.0,263.0,2019.0,MG,PSDB,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957242625518,0,2011-04-13T00:00:00,371.66,0.0,371.66,4,2011,0,LUIGI MRSANTOS,BSB/CNF,0,['0'],,1904,0
MARCO MAIA,133373.0,496.0,2015.0,RS,PT,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2464.752723,0,2013-03-13T00:00:00,1727.7,0.0,1727.7,3,2013,0,NAZUR GARCIA,BSB/POA/BSB,0,['0'],,1742,654131
ALFREDO KAEFER,141454.0,451.0,2015.0,PR,PP,54,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: RBITQP,0,2013-05-08T00:00:00,422.47,0.0,422.47,5,2013,0,ALFREDO KAEFER,CGH/MGF,0,['0'],,1776,677367
PEDRO UCZAI,160604.0,481.0,2019.0,SC,PT,55,1,Maintenance of office supporting parliamentary activity,0,,DISTRIOESTE DISTRIBUIDORA LTDA,5594286000102,81791,4,2018-05-24T00:00:00,382.07,0.0,382.07,5,2018,0,,,1503805,[nan],0.0,2243,6601869
CELSO MALDANER,141405.0,472.0,2019.0,SC,MDB,53,1,Maintenance of office supporting parliamentary activity,0,,SANTA MARIA IMOVEIS LTDA,1812393000109,8200106322-1,1,2009-09-05T00:00:00,930.97,0.0,930.97,9,2009,0,,,421525,[nan],0.0,1798,1667126
ARTHUR LIRA,160541.0,162.0,2019.0,AL,PP,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2446.0783705,0,2012-05-07T00:00:00,241.0,0.0,241.0,5,2012,0,ARTHUR LIRA,REC/BSB,0,['0'],,2377,0
ASSIS CARVALHO,159237.0,111.0,2019.0,PI,PT,54,11,Postal services,0,,CORREIOS - SEDEX CONVENCIONAL,7,RSP : 1255699,1,2012-05-30T15:00:12,50.37,0.0,50.37,5,2012,0,,,0,['0'],,2338,0
WEVERTON ROCHA,167493.0,83.0,2015.0,MA,PDT,55,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: HNBQ5U,0,2017-02-01T00:00:00,286.69,0.0,286.69,2,2017,0,WEVERTON ROCHA,BSB/SLZ,0,['0'],,2467,1399061
SARAIVA FELIPE,74762.0,265.0,2015.0,MG,MDB,54,14,"Lodging, except for congressperson from Distrito Federal",0,,TRANSAMÉRICA HOSPITALITY GROUP,56548779000139,00024752,0,2011-10-05T00:00:00,370.35,6.0,364.35,10,2011,0,,,569687,[nan],0.0,1090,2177962
GERALDO THADEU,74151.0,236.0,2011.0,MG,PSD,54,3,Fuels and lubricants,1,Veículos Automotores,SAMAMBAIA AUTO POSTO LTDA.,17618091000126,653658,0,2011-08-05T00:00:00,81.0,0.0,81.0,8,2011,0,,,567356,[nan],0.0,1650,2170595
GUILHERME MUSSI,160667.0,348.0,2019.0,SP,PP,54,13,Congressperson meal,0,,DIVINO FOGÃO,10374484000192,113494,0,2011-08-15T00:00:00,20.48,0.0,20.48,8,2011,0,,,560400,[nan],0.0,2252,2146161
LINCOLN PORTELA,74585.0,243.0,2019.0,MG,PR,53,3,Fuels and lubricants,1,Veículos Automotores,CENTRO AUTOMOTIVO DEL REY LTDA,42946129000480,034215,0,2010-09-23T00:00:00,100.01,0.0,100.01,9,2010,0,,,499130,[nan],0.0,1355,1941360
ALEXANDRE ROSO,160579.0,489.0,2011.0,RS,PSB,54,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Comp-SEC8KZ,0,2014-06-24T00:00:00,-85.47,0.0,-85.47,6,2014,0,ALEXANDRE ROSO,BSB/BSB,0,['0'],,2286,877912
PROFESSORA DORINHA SEABRA REZENDE,160639.0,67.0,2019.0,TO,DEM,54,5,Publicity of parliamentary activity,0,,CT COMUNICAÇÃO E MARKTING LTDA,8378600000108,71,0,2013-01-03T00:00:00,800.0,0.0,800.0,12,2012,0,,,1000747,[nan],0.0,2300,5003368
DR. SINVAL MALHEIROS,178830.0,351.0,2015.0,SP,PODE,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2154.636740,0,2017-10-06T00:00:00,158.93,0.0,158.93,10,2017,0,JURANDYR COPATO GODOY BUENO,BSB/CGH/SJP,0,['0'],,2887,1496702
PAULO FOLETTO,160517.0,280.0,2019.0,ES,PSB,54,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Comp-127L6M75S_____,0,2011-06-30T00:00:00,-70.56,0.0,-70.56,6,2011,0,PAULO FOLETTO,CANCELADO,0,['0'],,2317,0
LUIZ CARLOS BUSATO,141485.0,488.0,2015.0,RS,PTB,53,15,Automotive vehicle renting or watercraft charter,0,,CONCESSIONÁRIA RODOVIÁRIA DO PLANALTO S/A.,2351705000189,0302006748,1,2009-07-18T00:00:00,6.0,0.0,6.0,7,2009,0,,,414047,[nan],0.0,1793,1642105
GIOVANI CHERINI,160673.0,502.0,2019.0,RS,PR,54,3,Fuels and lubricants,1,Veículos Automotores,COMBUSTÍVEIS PORTO ALEGRE,8689190000108,001084,0,2013-05-06T00:00:00,134.02,0.0,134.02,5,2013,0,,,1034413,[nan],0.0,2281,5126197
MARCOS MONTES,141500.0,257.0,2015.0,MG,PSD,55,10,Telecommunication,0,,RAMAL,6,6077271,0,,17.76,0.0,17.76,8,2016,0,,,0,['0'],,1889,0
JORGE BOEIRA,74388.0,474.0,2015.0,SC,PP,53,11,Postal services,0,,EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS,34028316002823,070,1,2009-08-20T00:00:00,35.1,0.0,35.1,8,2009,0,,,425458,[nan],0.0,1563,1690578
CRISTIANE BRASIL,93472.0,296.0,2015.0,RJ,PTB,55,10,Telecommunication,0,,RAMAL,6,6290833,0,,30.14,0.0,30.14,4,2017,0,,,0,['0'],,2892,0
MARGARIDA SALOMÃO,171619.0,237.0,2019.0,MG,PT,55,999,Flight ticket issue,0,,Cia Aérea - AZUL,9296295000160,Bilhete: Z96EGV,0,2017-08-09T00:00:00,210.0,0.0,210.0,8,2017,0,MARGARIDA SALOMÃO,BSB/SJP,0,['0'],,2815,1471757
SÉRGIO BRITO,73808.0,213.0,2019.0,BA,PSD,56,10,Telecommunication,0,,RAMAL,6,5514287,0,,77.0,0.0,77.0,9,2014,0,,,0,['0'],,169,0
ISAIAS SILVESTRE,74152.0,604.0,2011.0,MG,PSB,54,10,Telecommunication,0,,RAMAL,6,5273579,0,,187.97,0.0,187.97,11,2013,0,,,0,['0'],,2489,0
SANDRA ROSADO,74039.0,125.0,2011.0,RN,PSB,54,10,Telecommunication,0,,TIM CELULAR S.A.,4206050008831,000003165-AB,0,2012-04-07T00:00:00,418.86,12.98,405.88,4,2012,0,,,614397,[nan],0.0,1689,2324912
MENDONÇA PRADO,74056.0,179.0,2011.0,SE,DEM,54,3,Fuels and lubricants,1,Veículos Automotores,POSTO PETROBRAS LAGO NORTE,306597007100,9470,0,2013-05-07T00:00:00,50.0,0.0,50.0,5,2013,0,,,1027380,[nan],0.0,1615,5102702
MARCELO CASTRO,74460.0,110.0,2015.0,PI,MDB,54,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: FJ1L9E,0,2013-09-02T00:00:00,378.03,0.0,378.03,9,2013,0,MARCELO CASTRO,BSB/THE,0,['0'],,1311,707097
VALADARES FILHO,141384.0,183.0,2015.0,SE,PSB,55,999,Flight ticket issue,0,,Cia Aérea - AVIANCA,2575829000148,Bilhete: 2437778804,0,2018-04-27T00:00:00,522.57,0.0,522.57,4,2018,0,VALADARES FILHO,AJU/BSB,0,['0'],,1945,1556261
DR. GRILO,160514.0,235.0,2011.0,MG,SD,54,3,Fuels and lubricants,1,Veículos Automotores,AUTO POSTO MENDONÇA LTDA,18048230000196,191864,0,2014-09-30T00:00:00,135.14,0.0,135.14,9,2014,0,,,1141114,[nan],0.0,2234,5515232
TADEU ALENCAR,178922.0,161.0,2019.0,PE,PSB,55,3,Fuels and lubricants,1,Veículos Automotores,EDUARDO E INACIO COMBUSTIVEIS LTDA,7027843000120,16221,4,2018-11-24T00:00:00,222.99,0.0,222.99,11,2018,0,,,1544562,[nan],0.0,2945,6712407
CLÓVIS FECURY,74026.0,73.0,2007.0,MA,DEM,53,11,Postal services,0,,CORREIOS - SEDEX CONVENCIONAL,7,RSP : 1085835,1,2009-07-01T16:05:52,60.09,0.0,60.09,7,2009,0,,,0,['0'],,1559,0
EMILIANO JOSÉ,154997.0,523.0,2011.0,BA,PT,53,3,Fuels and lubricants,1,Veículos Automotores,POSTO DE GASOLINA A CABANA LTDA,15228422000196,321738,0,2009-06-29T00:00:00,20.0,0.0,20.0,6,2009,0,,,406678,[nan],0.0,2009,1616673
RAQUEL MUNIZ,178998.0,258.0,2015.0,MG,PSD,55,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: LLGZMH,0,2015-05-15T00:00:00,538.93,0.0,538.93,5,2015,0,RAQUEL MUNIZ,BSB/CNF/MOC,0,['0'],,2927,992457
HENRIQUE FONTANA,73482.0,498.0,2019.0,RS,PT,55,11,Postal services,0,,AGENCIA DE CORREIOS FRANQUEADA GLOBO ANDRADAS LTDA,5438697000109,1518191578,1,2018-08-24T00:00:00,60.9,0.0,60.9,8,2018,0,,,1529025,[nan],0.0,1454,6670423
RONALDO CAIADO,74813.0,429.0,2011.0,GO,DEM,54,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Comp-OL7JNE,0,2014-05-06T00:00:00,-558.85,0.0,-558.85,5,2014,0,RONALDO CAIADO,BSB/BSB,0,['0'],,802,860019
LEANDRO VILELA,74367.0,420.0,2011.0,GO,PMDB,54,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: 127B7414P_____,0,2011-07-05T00:00:00,424.0,0.0,424.0,7,2011,0,LEANDRO VILELA,GYN/ BSB,0,['0'],,1579,0
LAERTE BESSA,141478.0,412.0,2015.0,DF,PR,55,10,Telecommunication,0,,RAMAL,6,6005337,0,,17.49,0.0,17.49,4,2016,0,,,0,['0'],,1867,0
GENECIAS NORONHA,160669.0,99.0,2019.0,CE,SOLIDARIEDADE,54,10,Telecommunication,0,,IMÓVEL FUNCIONAL,3,3952455,0,2012-01-01T00:00:00,61.08,0.0,61.08,1,2012,0,,,0,['0'],,2311,0
GIOVANI CHERINI,160673.0,502.0,2019.0,RS,PR,55,3,Fuels and lubricants,1,Veículos Automotores,AUTO POSTO DALMOLIN LTDA,5874196000167,232804,4,2018-07-15T00:00:00,237.86,154.97,82.89,7,2018,0,,,1518838,[nan],0.0,2281,6635279
ZÉ AUGUSTO NALIN,191945.0,557.0,2015.0,RJ,DEM,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2124.667497,0,2016-02-04T00:00:00,2177.83,0.0,2177.83,2,2016,0,ZÉ AUGUSTO NALIN,BSB/CGH/SDU,0,['0'],,3135,1321806
DOMINGOS DUTRA,74197.0,72.0,2011.0,MA,SD,53,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Comp-9572421092072,0,2011-01-21T00:00:00,-418.62,0.0,-418.62,1,2011,0,LUANAFERNANDES,BSB/SLZ,0,['0'],,1003,0
DALVA FIGUEIREDO,141502.0,9.0,2011.0,AP,PT,53,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957 2413 320662,0,2010-09-09T00:00:00,476.62,0.0,476.62,9,2010,0,REDEMARQUE SANTOS,BSB/MCP,0,['0'],,1808,0
AFONSO HAMM,136811.0,487.0,2019.0,RS,PP,54,15,Automotive vehicle renting or watercraft charter,0,,ECOSUL,2511048000190,S/N,1,2011-11-26T00:00:00,7.8,0.0,7.8,11,2011,0,,,579463,[nan],0.0,1758,2210937
PADRE JOÃO,160556.0,259.0,2019.0,MG,PT,54,5,Publicity of parliamentary activity,0,,DQR MIDIA ELETRONICA SS LTDA,2150494000116,2012/115,0,2012-06-01T00:00:00,202.68,0.0,202.68,6,2012,0,,,620065,[nan],0.0,2305,2342830
ALBERTO FILHO,160582.0,548.0,2015.0,MA,PP,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 9572442135767,0,2012-02-06T00:00:00,210.0,0.0,210.0,2,2012,0,ALBERTO FILHO,SLZ/BSB/SLZ,0,['0'],,2283,0
WILSON BESERRA,193066.0,562.0,2015.0,RJ,MDB,55,1,Maintenance of office supporting parliamentary activity,0,,KALUNGA COMERCIO E INDUSTRIA GRÁFICA LTDA,43283811004228,215028,0,2017-07-31T00:00:00,79.6,0.0,79.6,7,2017,0,,,1411669,[nan],0.0,3137,6355307
NILSON PINTO,74352.0,31.0,2019.0,PA,PSDB,53,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: W1PQ9B,0,2009-12-29T00:00:00,333.04,0.0,333.04,12,2009,0,OLIVEIRA/NILSON,BELG3STMG3BEL,0,['0'],,1282,0
PERPÉTUA ALMEIDA,73943.0,58.0,2019.0,AC,PCdoB,54,14,"Lodging, except for congressperson from Distrito Federal",0,,HOTEL SAO JOSE,3734120000100,502,0,2013-05-18T00:00:00,210.0,0.0,210.0,5,2013,0,,,1030699,[nan],0.0,1645,5115571
DILCEU SPERAFICO,73768.0,444.0,2015.0,PR,PP,55,5,Publicity of parliamentary activity,0,,RADIO INTEGRAÇÃO LTDA,79701983000143,3718,0,2015-12-30T00:00:00,500.0,0.0,500.0,12,2015,0,,,1256217,[nan],0.0,1001,5889226
LEONARDO QUINTÃO,141482.0,255.0,2015.0,MG,MDB,54,13,Congressperson meal,0,,LUCCA RESTAURANTE E SERVIÇOS LTDA,4777798000648,109185,0,2012-04-24T00:00:00,25.0,0.0,25.0,4,2012,0,,,619709,[nan],0.0,1873,2341622
ROGÉRIO ROSSO,160426.0,413.0,2015.0,DF,PSD,55,3,Fuels and lubricants,1,Veículos Automotores,AUTO SHOPPING DERIVADOS DE PETROLEO LTDA,37063328003000,8538,4,2018-06-05T00:00:00,207.93,0.0,207.93,6,2018,0,,,1506742,[nan],0.0,2031,6609646
PAULO BORNHAUSEN,73883.0,482.0,2011.0,SC,PSB,54,122,"Taxi, toll and parking",0,,SINPETAXI - DF,31708000100,s.n,1,2013-11-25T00:00:00,20.0,0.0,20.0,11,2013,0,,,1077194,[nan],0.0,1146,5289084
JAIR BOLSONARO,74847.0,302.0,2015.0,RJ,PSL,55,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: KWKK7H,0,2018-06-24T00:00:00,698.17,0.0,698.17,6,2018,0,JAIR BOLSONARO,SDU/BSB,0,['0'],,731,1578483
HENRIQUE AFONSO,73940.0,52.0,2011.0,AC,PV,54,3,Fuels and lubricants,1,Veículos Automotores,POSTO FLORESTA,4767269000159,002114,0,2012-09-28T00:00:00,2500.0,250.0,2250.0,9,2012,0,,,640879,[nan],0.0,1656,2408711
MARCOS ROGÉRIO,167722.0,49.0,2015.0,RO,DEM,54,13,Congressperson meal,0,,TOLDOS RESTAURANTE E PIZZARIA LTDA,34472852000101,0029327,0,2013-05-10T00:00:00,96.8,0.0,96.8,5,2013,0,,,1030416,[nan],0.0,2473,5114501
BETO MANSUR,73437.0,340.0,2015.0,SP,MDB,55,122,"Taxi, toll and parking",0,,FACILITY ESTACIONAMENTOS LTDA,5302184000168,00097127,0,2016-06-16T00:00:00,300.0,0.0,300.0,6,2016,0,,,1300231,[nan],0.0,775,6027312
JOÃO ARRUDA,160573.0,455.0,2015.0,PR,MDB,54,11,Postal services,0,,CORREIOS - SEDEX INTERNACIONAL,7,RSP : 2023439,1,2013-06-03T12:11:25,46.0,0.0,46.0,6,2013,0,,,0,['0'],,2363,0
